o,y,m,lx_kh,lx_th,cld_kh,cld_th,pt_kh,pt_th,dt_kh,dt_th,ln_th,ngay_lv,scc_dt,ds_dt,dvgt_dt,dvgt_b1053,dong_dt,son_cld,dt_lsc,bh_lsc,ds_lsc,dt_son,son_dt,gv_son,cvdv,scc_n,b_n,p_n,hs_cvdv_m,hs_scc_m,hs_b_m,hs_p_m,lx_nt,dt_nt,cld_nt,pt_nt,csi_n,csi_kg,csi_td,csi_cvdv,csi_tt,csi_clsc,csi_grx,csi_ov
HQB,2020,6,0,324,0,323.804,0,118.736,0,442.54,115.57,26,5,102.374,1.45,1.45,37.416,177.564,1030.684,600.161,213.156,175.74,175.74,46.368,1,8,3,5,1030.7,13,12.5,35.1,0,0,0,0,0,,,,,,,
HQB,2020,7,0,327,0,343.96,0,257.177,0,601.137,135.259,26,2.3,79.223,5.5,5.5,49.469,207.469,1078.945,793.525,254.116,204.397,204.397,39.794,1,8,3,5,1078.9,10.5,16.5,40.9,0,0,0,0,0,,,,,,,
HQB,2020,8,0,291,0,309.449,0,143.995,0,453.444,105.363,26,0,70.206,18.534,18.534,40.808,179.901,1036.874,762.063,218.358,184.749,184.749,47.542,1,8,3,6,1036.9,11.1,13.6,29.6,0,0,0,0,0,,,,,,,
HQB,2020,9,0,339,0,351.256,0,735.723,0,1086.979,144.054,26,3.374,87.956,24.93,24.93,50.52,184.477,1083.871,589.299,236.046,193.107,193.107,30.883,1,8,3,6,1083.9,14,17.2,30.7,0,0,0,0,0,,,,,,,
HQB,2020,10,0,279,0,287.132,0,447.753,0,734.885,99.052,26,4.25,106.392,17.84,17.84,34.982,123.668,735.046,318.701,158.649,123.668,123.668,28.629,1,8,3,7,735,15.5,11.7,17.7,0,0,0,0,0,,,,,,,
HQB,2020,11,0,388,0,419.213,0,937.446,0,1356.659,180.494,26,11.027,137.24,25.19,25.19,44.802,200.954,1356.332,822.357,245.755,206.204,206.204,37.971,1,8,3,7,1356.3,20.3,14.9,28.7,0,0,0,0,0,,,,,,,
HQB,2020,12,0,463,0,528.274,0,1157.364,0,1686.923,263.516,26,11.395,149.673,18.405,18.405,71.784,278.303,1686.923,900.138,350.086,278.303,278.303,50.381,1,8,3,6,1686.9,21,23.9,46.4,0,0,0,0,0,,,,,,,
HQB,2021,1,468.312,464,368.511,469.567,773.23,785.466,1147.88,1255.033,216.639,26,1.3,133.75,14.95,14.95,48.332,271.235,1255.033,510.426,319.567,271.235,271.235,47.63,1,8,3,6,1255,18.6,16.1,45.2,0,0,0,0,0,,,,,,,
HQB,2021,2,295.8225,372,232.78,326.66,488.433,510.669,725.091,837.329,134.838,26,7.32,100.279,9.77,9.77,34.099,175.191,837.05,334.3,209.291,175.191,175.191,29.783,1,8,3,7,837,13.8,11.4,25,0,0,0,0,0,,,,,,,
HQB,2021,3,403.0414,453,317.15,400.254,665.462,757.2,987.895,1157.454,185.714,26,8.482,120.78,17.1,17.1,42.248,211.644,1155.014,518.368,253.892,216.819,216.819,42.67,1,8,3,6,1155,17.2,14.1,35.3,0,0,0,0,0,,,,,,,
HQB,2021,4,425.3263,494,334.686,436.354,702.257,767.414,1042.518,1203.768,211.203,26,19.268,125.671,30.15,30.15,40.047,221.219,1203.577,578.587,261.265,221.219,221.219,42.523,1,8,2,6,1203.6,19.5,20,36.9,0,0,0,0,0,,,,,,,
HQB,2021,5,454.2874,460,357.475,415.681,750.074,801.144,1113.504,1216.982,183.857,26,12.27,138.061,16.9,16.9,46.558,202.049,1214.636,395.122,248.607,202.049,202.049,40.415,1,8,3,7,1214.6,19.4,15.5,28.9,0,0,0,0,0,,,,,,,
HQB,2021,6,471.9743,383,371.392,369.576,779.277,843.596,1156.856,1213.241,151.881,26,16.71,105.448,12.1,12.1,45.359,190.029,1213.174,589.861,235.388,190.029,190.029,32.5,1,8,3,7,1213.2,14.7,15.1,27.1,0,0,0,0,0,,,,,,,
HQB,2021,7,490.3913,369,385.885,414.313,809.685,645.473,1201.998,1059.786,173.378,26,13.694,122.525,11.4,11.4,45.896,220.798,1053.137,576.741,266.694,220.798,220.798,38.248,1,8,3,7,1053.1,11.7,15.3,31.5,0,0,0,0,0,,,,,,,
HQB,2021,8,514.6062,240,404.939,261.732,849.667,368.303,1261.352,630.035,79.281,26,2,70.36,6,6,33.308,150.064,628.108,287.569,183.372,150.064,150.064,32.389,1,7,3,7,628.1,8.8,11.1,21.4,0,0,0,0,0,,,,,,,
